COLOR,BLOCK,LOT,"PROPERTY
ADDRESS",ADDRESS,TIER,STATUS,District,MBLR
small_red,2612,74,169 BUENA VISTA TR,"169 BUENA VISTA TR,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8,SF2612074
small_red,2623,116,4096 17TH ST,"4096 17TH ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8,SF2623116
small_red,2403,33,1255 TARAVAL ST,"1255 TARAVAL ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",4,SF2403033
small_yellow,217,18,1642 LARKIN ST,"1642 LARKIN ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0217018
small_red,2442,14,3090 VICENTE ST,"3090 VICENTE ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",4,SF2442014
small_yellow,217,006A,1538 CLAY ST,"1538 CLAY ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0217006A
small_red,2631,1,251 PARNASSUS AV,"251 PARNASSUS AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5,SF2631001
small_yellow,219,24,1415 CLAY ST,"1415 CLAY ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0219024
small_red,2648,33,2555 MARKET ST,"2555 MARKET ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8,SF2648033
small_yellow,221,30,1275 CLAY ST,"1275 CLAY ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0221030
small_yellow,218,17,1520 LARKIN ST,"1520 LARKIN ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0218017
small_red,2623,86,37 STATES ST,"37 STATES ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8,SF2623086
small_yellow,219,14,1230 HYDE ST,"1230 HYDE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0219014
small_red,2714,24,66 CORWIN ST,"66 CORWIN ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8,SF2714024
small_yellow,247,15,1124 LEAVENWORTH ST,"1124 LEAVENWORTH ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0247015
small_red,2748,27,77 GRAND VIEW AV,"77 GRAND VIEW AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8,SF2748027
small_yellow,248,25,1451 SACRAMENTO ST,"1451 SACRAMENTO ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0248025
small_red,2650,7,2727 MARKET ST,"2727 MARKET ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8,SF2650007
small_yellow,221,003B,1115 TAYLOR ST,"1115 TAYLOR ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0221003B
small_red,2660,43,1310 CLAYTON ST,"1310 CLAYTON ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8,SF2660043
small_yellow,247,2,1111 JONES ST,"1111 JONES ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0247002
small_yellow,218,18,1532 LARKIN ST,"1532 LARKIN ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0218018
small_red,2779,2,814 CORBETT AV,"814 CORBETT AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8,SF2779002
small_red,2778,33,801 CORBETT AV,"801 CORBETT AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8,SF2778033
small_yellow,248,10,1320 CALIFORNIA ST,"1320 CALIFORNIA ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0248010
small_red,2779,30,455 BURNETT AV,"455 BURNETT AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8,SF2779030
small_red,2826,95,725 BURNETT AV,"725 BURNETT AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8,SF2826095
small_yellow,248,8,1306 CALIFORNIA ST,"1306 CALIFORNIA ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0248008
small_red,2847,45,975 BURNETT AV,"975 BURNETT AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8,SF2847045
small_yellow,249,6,1127 HYDE ST,"1127 HYDE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0249006
small_red,2799,48,545 BURNETT AV,"545 BURNETT AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8,SF2799048
small_yellow,248,21,1487 SACRAMENTO ST,"1487 SACRAMENTO ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0248021
