COLOR,BLOCK,LOT,"PROPERTY
ADDRESS",ADDRESS,TIER,STATUS,District
small_yellow,0495,003,3127 OCTAVIA ST,"3127 OCTAVIA ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_red,0478,001C,2845 POLK ST,"2845 POLK ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2
small_red,3614,064,1085 SOUTH VAN NESS AV,"1085 SOUTH VAN NESS AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",9
small_red,0478,001,1101 FRANCISCO ST,"1101 FRANCISCO ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2
small_red,3628,011,1070 CHURCH ST,"1070 CHURCH ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8
small_red,0471,001,3355 OCTAVIA ST,"3355 OCTAVIA ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2
small_red,3610,050,540 CAPP ST,"540 CAPP ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",9
small_yellow,0499,001,1207 CHESTNUT ST,"1207 CHESTNUT ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_red,0473,013D,3210 GOUGH ST,"3210 GOUGH ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2
small_red,3614,065,1065 SOUTH VAN NESS AV,"1065 SOUTH VAN NESS AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",9
small_yellow,0499,001B,2747 POLK ST,"2747 POLK ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_red,3580,005,544 CHURCH ST,"544 CHURCH ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8
small_yellow,0479,010,3040 FRANKLIN ST,"3040 FRANKLIN ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_red,3582,077A,3951 17TH ST,"3951 17TH ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8
small_yellow,0482,018,1670 CHESTNUT ST,"1670 CHESTNUT ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
